city,state,category,NumberOfRestaurants
Mississuaga,ON,Chinese,1
Möglingen,BW,Italian,1
Monona,WI,"American (New)",2
Monona,WI,"American (Traditional)",10
Monona,WI,Chinese,8
Monona,WI,Greek,1
Monona,WI,Indian,1
Monona,WI,Italian,5
Monona,WI,Japanese,1
Monona,WI,Mexican,6
Monona,WI,Thai,1
Monona,WI,Vietnamese,1
Monongahela,PA,"American (New)",1
Monongahela,PA,"American (Traditional)",4
Monongahela,PA,Chinese,1
Monongahela,PA,Italian,2
Monroeville,PA,"American (New)",13
Monroeville,PA,"American (Traditional)",19
Monroeville,PA,Chinese,9
Monroeville,PA,Greek,1
Monroeville,PA,Halal,2
Monroeville,PA,Indian,7
Monroeville,PA,Italian,15
Monroeville,PA,Japanese,5
Monroeville,PA,Mexican,7
Monroeville,PA,"Middle Eastern",1
Monroeville,PA,Pakistani,3
Monroeville,PA,Thai,1
Mont-Royal,QC,"Canadian (New)",2
Mont-Royal,QC,French,2
Mont-Royal,QC,"Middle Eastern",1
Mont-Royal,QC,Thai,1
Mont-Saint-Gregoire,QC,"American (Traditional)",1
Mont-Saint-Gregoire,QC,"Canadian (New)",3
Mont-Saint-Hilaire,QC,Italian,1
Mont-Saint-Hilaire,QC,"Middle Eastern",1
Mont-Saint-Hilaire,QC,Thai,1
Mont-Saint-Hilaire,QC,Vietnamese,1
Montéal,QC,"Canadian (New)",1
Montéal,QC,Italian,1
Monticello,IL,"American (New)",3
Monticello,IL,"American (Traditional)",4
Monticello,IL,Chinese,1
Monticello,IL,Italian,2
Monticello,IL,Mexican,4
Montréal,QC,"American (New)",21
Montréal,QC,"American (Traditional)",80
Montréal,QC,Cajun/Creole,15
Montréal,QC,"Canadian (New)",275
Montréal,QC,Cantonese,1
Montréal,QC,Chinese,190
Montréal,QC,Cuban,3
Montréal,QC,Ethiopian,2
Montreal,QC,French,350
Montréal,QC,Greek,69
Montréal,QC,Halal,29
Montréal,QC,Indian,108
Montréal,QC,Indonesian,6
Montréal,QC,Italian,246
Montréal,QC,Japanese,170
Montréal,QC,Korean,64
Montréal,QC,Malaysian,3
Montreal,QC,Mexican,95
Montréal,QC,"Middle Eastern",102
Montréal,QC,Pakistani,28
Montréal,QC,Peruvian,17
Montréal,QC,Singaporean,3
Montréal,QC,Thai,85
Montréal,QC,Turkish,12
Montréal,QC,Vietnamese,152
Montreal-Nord,QC,Italian,2
Montreal-West,QC,Italian,1
Montrose,OH,"American (Traditional)",1
Mooers,NY,"American (Traditional)",1
Moon,PA,"American (New)",2
Moon,PA,"American (Traditional)",1
Moon,PA,Italian,1
"Moon Township",PA,"American (New)",3
"Moon Township",PA,"American (Traditional)",3
"Moreland Hills",OH,"American (New)",1
"Moreland Hills",OH,French,1
"Moreland Hills",OH,Italian,1
Morin-Heights,QC,"Canadian (New)",2
Moss,01,Chinese,2
Moss,01,Italian,2
Moss,01,Thai,1
"Mount Albert",ON,"Canadian (New)",2
"Mount Albert",ON,Chinese,1
"Mount Albert",ON,Italian,1
"Mount Holly",NC,"American (New)",2
"Mount Holly",NC,"American (Traditional)",6
"Mount Holly",NC,Chinese,1
"Mount Holly",NC,Greek,1
"Mount Holly",NC,Italian,2
"Mount Holly",NC,Japanese,1
"Mount Holly",NC,Mexican,1
"Mount Horeb",WI,"American (New)",1
"Mount Horeb",WI,"American (Traditional)",5
"Mount Horeb",WI,Chinese,2
"Mount Horeb",WI,Italian,2
"Mount Horeb",WI,Mexican,1
"Mount Lebanon",PA,"American (New)",1
"Mount Lebanon",PA,Greek,2
"Mount Royal",QC,Korean,1
"Mt. Lebanon",PA,"American (New)",2
"Mt. Lebanon",PA,"American (Traditional)",1
"Mt. Lebanon",PA,Italian,1
Munhall,PA,"American (New)",1
Munhall,PA,"American (Traditional)",2
Munhall,PA,Chinese,1
Munhall,PA,Italian,1
"Munroe Falls",OH,"American (Traditional)",1
"Munroe Falls",OH,Chinese,1
"Munroe Falls",OH,Italian,1
"Munroe Falls",OH,Thai,1
Murrysville,PA,"American (New)",8
Murrysville,PA,"American (Traditional)",5
Murrysville,PA,Chinese,2
Murrysville,PA,Greek,1
Murrysville,PA,Italian,2
Murrysville,PA,Mexican,3
Murrysville,PA,Thai,1
Musselburgh,ELN,Indian,1
Musselburgh,ELN,Italian,1
Musselburgh,ELN,Thai,1
"N Las Vegas",NV,Chinese,1
"N Las Vegas",NV,Mexican,2
"N. Las Vegas",NV,"American (Traditional)",1
Napierville,QC,"American (Traditional)",1
Napierville,QC,"Canadian (New)",1
"Nellis Afb",NV,"American (New)",1
Neuhausen,BW,Italian,3
Neuhausen,BW,Vietnamese,1
"Neville Island",PA,"American (Traditional)",1
"New Eagle",PA,"American (Traditional)",1
"New Kensington",PA,"American (New)",3
"New Kensington",PA,"American (Traditional)",5
"New Kensington",PA,Chinese,4
"New Kensington",PA,Italian,4
"New Kensington",PA,Mexican,2
"New Town",EDH,French,1
Newbury,OH,"American (New)",1
Newbury,OH,"American (Traditional)",1
Newbury,OH,Italian,2
Newhaven,ESX,"American (Traditional)",1
Newhaven,ESX,Indian,1
Newhaven,ESX,Pakistani,1
Newmarket,ON,"American (Traditional)",16
Newmarket,ON,Cajun/Creole,1
Newmarket,ON,"Canadian (New)",17
Newmarket,ON,Chinese,11
Newmarket,ON,Greek,6
Newmarket,ON,Halal,1
Newmarket,ON,Indian,2
Newmarket,ON,Italian,16
Newmarket,ON,Japanese,14
Newmarket,ON,Korean,1
Newmarket,ON,Mexican,7
Newmarket,ON,"Middle Eastern",5
Newmarket,ON,Pakistani,2
Newmarket,ON,Thai,9
Newmarket,ON,Turkish,1
Newmarket,ON,Vietnamese,8
Nobleton,ON,"Canadian (New)",2
Nobleton,ON,Italian,2
Nobleton,ON,Japanese,1
"North Huntingdon",PA,"American (New)",3
"North Huntingdon",PA,"American (Traditional)",5
"North Huntingdon",PA,Greek,1
"North Huntingdon",PA,Indonesian,1
"North Huntingdon",PA,Italian,5
"North Las Vegas",NV,"American (New)",15
"North Las Vegas",NV,"American (Traditional)",44
"North Las Vegas",NV,Cajun/Creole,2
"North Las Vegas",NV,Cantonese,1
"North Las Vegas",NV,Chinese,25
"North Las Vegas",NV,French,1
"North Las Vegas",NV,Greek,1
"North Las Vegas",NV,Italian,21
"North Las Vegas",NV,Japanese,10
"North Las Vegas",NV,Korean,1
"North Las Vegas",NV,Mexican,66
"North Las Vegas",NV,Thai,3
"North Las Vegas",NV,Vietnamese,3
"North Olmstead",OH,"American (Traditional)",1
"North Olmsted",OH,"American (New)",10
"North Olmsted",OH,"American (Traditional)",21
"North Olmsted",OH,Chinese,11
"North Olmsted",OH,Greek,4
"North Olmsted",OH,Halal,1
"North Olmsted",OH,Indian,3
"North Olmsted",OH,Italian,7
"North Olmsted",OH,Japanese,4
"North Olmsted",OH,Korean,1
"North Olmsted",OH,Mexican,5
"North Olmsted",OH,"Middle Eastern",5
"North Olmsted",OH,Thai,2
"North Olmsted",OH,Vietnamese,2
"North Randall",OH,"American (New)",1
"North Randall",OH,Indian,1
"North Ridgeville",OH,"American (New)",3
"North Ridgeville",OH,"American (Traditional)",4
"North Ridgeville",OH,Cantonese,1
"North Ridgeville",OH,Chinese,3
"North Ridgeville",OH,Italian,2
"North Ridgeville",OH,Mexican,4
"North Royalton",OH,"American (New)",6
"North Royalton",OH,"American (Traditional)",11
"North Royalton",OH,Chinese,3
"North Royalton",OH,Greek,2
"North Royalton",OH,Indian,1
"North Royalton",OH,Italian,5
"North Royalton",OH,Mexican,3
"North Toronto",ON,"American (Traditional)",1
"North Toronto",ON,"Canadian (New)",1
"North Versailles",PA,"American (New)",2
"North Versailles",PA,"American (Traditional)",7
"North Versailles",PA,Cajun/Creole,1
"North Versailles",PA,Mexican,1
"North York",ON,"American (New)",5
"North York",ON,"American (Traditional)",16
"North York",ON,Cajun/Creole,2
"North York",ON,"Canadian (New)",20
"North York",ON,Chinese,48
"North York",ON,French,2
"North York",ON,Greek,12
"North York",ON,Halal,4
"North York",ON,Indian,9
"North York",ON,Italian,34
"North York",ON,Japanese,28
"North York",ON,Korean,28
"North York",ON,Mexican,2
"North York",ON,"Middle Eastern",19
"North York",ON,Pakistani,5
"North York",ON,Thai,11
"North York",ON,Turkish,2
"North York",ON,Vietnamese,17
Northfield,OH,"American (New)",2
Northfield,OH,"American (Traditional)",7
Northfield,OH,Chinese,4
Northfield,OH,Greek,1
Northfield,OH,Italian,5
Northfield,OH,Japanese,1
Northfield,OH,Mexican,3
Northside,PA,Mexican,1
Nottingham,PA,"American (Traditional)",1
Noyan,QC,"Canadian (New)",1
Oakdale,PA,"American (Traditional)",5
Oakdale,PA,Chinese,2
Oakdale,PA,Mexican,1
Oakland,PA,"American (New)",1
Oakland,PA,Chinese,1
Oakland,PA,Italian,2
Oakmont,PA,"American (New)",5
Oakmont,PA,"American (Traditional)",4
Oakmont,PA,Chinese,1
Oakmont,PA,Italian,6
Oakridges,ON,Italian,1
Oakville,ON,"American (New)",4
Oakville,ON,"American (Traditional)",23
Oakville,ON,Cajun/Creole,2
Oakville,ON,"Canadian (New)",27
Oakville,ON,Chinese,15
Oakville,ON,Cuban,2
Oakville,ON,French,6
Oakville,ON,Greek,8
Oakville,ON,Halal,1
Oakville,ON,Indian,6
Oakville,ON,Italian,37
Oakville,ON,Japanese,22
Oakville,ON,Korean,2
Oakville,ON,Mexican,10
Oakville,ON,"Middle Eastern",9
Oakville,ON,Pakistani,1
Oakville,ON,Peruvian,1
Oakville,ON,Thai,19
Oakville,ON,Vietnamese,6
Oakwood,IL,"American (Traditional)",2
Ogden,IL,"American (New)",1
Ogden,IL,"American (Traditional)",1
Oka,QC,Thai,1
"Old Town",EDH,Italian,1
Olivos,C,"American (Traditional)",2
Olivos,C,Italian,1
Olivos,C,Mexican,1
"Olmsted Falls",OH,"American (New)",3
"Olmsted Falls",OH,"American (Traditional)",3
"Olmsted Falls",OH,Chinese,1
"Olmsted Falls",OH,French,1
"Olmsted Falls",OH,Italian,4
"Olmsted Falls",OH,Mexican,1
"Olmsted Falls",OH,"Middle Eastern",1
"Olmsted Township",OH,"American (Traditional)",1
"Olmsted Township",OH,Chinese,1
Orange,OH,"American (Traditional)",1
"Orange Village",OH,"American (Traditional)",1
"Orange Village",OH,Indian,1
Oregon,WI,"American (New)",5
Oregon,WI,"American (Traditional)",6
Oregon,WI,Chinese,2
Oregon,WI,Italian,5
Oregon,WI,Mexican,2
Ormstown,QC,"Canadian (New)",1
Ormstown,QC,Greek,1
Ostfildern,BW,"American (Traditional)",1
Ostfildern,BW,Chinese,2
Ostfildern,BW,French,1
Ostfildern,BW,Greek,2
Ostfildern,BW,Italian,11
Ostfildern,BW,Thai,1
Oßweil,BW,Italian,1
Outremont,QC,"Canadian (New)",2
Outremont,QC,French,5
Outremont,QC,Italian,2
Outremont,QC,Japanese,1
Outremont,QC,Mexican,1
Outremont,QC,"Middle Eastern",2
Outremont,QC,Thai,1
Painesville,OH,"American (New)",9
Painesville,OH,"American (Traditional)",11
Painesville,OH,Chinese,4
Painesville,OH,Italian,4
Painesville,OH,Japanese,2
Painesville,OH,Mexican,4
Painesville,OH,Vietnamese,1
Palgrave,ON,"American (Traditional)",1
Paoli,WI,"American (Traditional)",1
Paradise,NV,Mexican,1
"Paradise Valley",AZ,"American (New)",7
"Paradise Valley",AZ,"American (Traditional)",6
"Paradise Valley",AZ,Chinese,2
"Paradise Valley",AZ,Indian,1
"Paradise Valley",AZ,Italian,7
"Paradise Valley",AZ,Mexican,3
"Paradise Valley",AZ,Thai,2
"Paradise Valley",AZ,Vietnamese,1
Parma,OH,"American (New)",10
Parma,OH,"American (Traditional)",14
Parma,OH,Chinese,5
Parma,OH,Greek,4
Parma,OH,Halal,1
Parma,OH,Indian,2
Parma,OH,Italian,7
Parma,OH,Japanese,6
Parma,OH,Korean,1
Parma,OH,Mexican,9
Parma,OH,"Middle Eastern",3
Parma,OH,Thai,1
Parma,OH,Vietnamese,1
"Parma Heights",OH,"American (New)",3
"Parma Heights",OH,"American (Traditional)",7
"Parma Heights",OH,Chinese,1
"Parma Heights",OH,Halal,2
"Parma Heights",OH,Indian,4
"Parma Heights",OH,Italian,1
"Parma Heights",OH,Mexican,1
Penicuik,MLN,French,1
Penicuik,MLN,Indian,1
Penicuik,MLN,Italian,1
Penicuik,MLN,Pakistani,1
Peninsula,OH,"American (New)",1
Peninsula,OH,"American (Traditional)",3
Peninsula,OH,Cajun/Creole,1
Peninsula,OH,Italian,1
"Penn Hills",PA,"American (New)",1
"Penn Hills",PA,Greek,1
"Penn Hills",PA,Italian,4
Peoria,AZ,"American (New)",38
Peoria,AZ,"American (Traditional)",47
Peoria,AZ,Cajun/Creole,3
Peoria,AZ,Chinese,27
Peoria,AZ,Greek,5
Peoria,AZ,Italian,30
Peoria,AZ,Japanese,11
Peoria,AZ,Korean,2
Peoria,AZ,Mexican,50
Peoria,AZ,"Middle Eastern",2
Peoria,AZ,Thai,4
Peoria,AZ,Vietnamese,6
"Pepper Pike",OH,Thai,1
"Peters Township",PA,Italian,1
Pheonix,AZ,"American (Traditional)",1
"Pheonix AZ",AZ,Mexican,1
Philo,IL,"American (Traditional)",1
Phoenix,AZ,"American (New)",362
Phoenix,AZ,"American (Traditional)",475
Phoenix,AZ,Cajun/Creole,15
Phoenix,AZ,Cantonese,7
Phoenix,AZ,Chinese,221
Phoenix,AZ,Cuban,9
Phoenix,AZ,Ethiopian,6
Phoenix,AZ,French,22
Phoenix,AZ,Greek,78
Phoenix,AZ,Halal,9
Phoenix,AZ,Indian,41
Phoenix,AZ,Indonesian,1
Phoenix,AZ,Italian,274
Phoenix,AZ,Japanese,93
Phoenix,AZ,Korean,14
Phoenix,AZ,Mexican,677
Phoenix,AZ,"Middle Eastern",38
Phoenix,AZ,Pakistani,15
Phoenix,AZ,Peruvian,2
Phoenix,AZ,Thai,50
Phoenix,AZ,Turkish,2
Phoenix,AZ,Vietnamese,43
Phx,AZ,Mexican,1
Pickering,ON,"American (New)",2
Pickering,ON,"American (Traditional)",11
Pickering,ON,Cajun/Creole,2
Pickering,ON,"Canadian (New)",15
Pickering,ON,Chinese,11
Pickering,ON,French,1
Pickering,ON,Greek,5
Pickering,ON,Halal,7
Pickering,ON,Indian,7
Pickering,ON,Italian,11
Pickering,ON,Japanese,8
Pickering,ON,Malaysian,1
Pickering,ON,Mexican,5
Pickering,ON,"Middle Eastern",2
Pickering,ON,Pakistani,2
Pickering,ON,Thai,6
Pickering,ON,Vietnamese,1
Pierrefonds,QC,Chinese,2
Pierrefonds,QC,French,1
Pierrefonds,QC,Greek,1
Pierrefonds,QC,Halal,2
Pierrefonds,QC,Indian,6
Pierrefonds,QC,Italian,2
Pierrefonds,QC,Japanese,1
Pierrefonds,QC,"Middle Eastern",3
Pierrefonds,QC,Pakistani,4
Pierrefonds,QC,Thai,1
Pierrefonds,QC,Vietnamese,2
Pineville,NC,"American (New)",8
Pineville,NC,"American (Traditional)",17
Pineville,NC,Chinese,4
Pineville,NC,French,2
Pineville,NC,Halal,1
Pineville,NC,Indian,3
Pineville,NC,Italian,4
Pineville,NC,Mexican,7
Pineville,NC,Pakistani,2
Pineville,NC,Peruvian,1
Pineville,NC,Thai,1
Pittsburgh,PA,"American (New)",291
Pittsburgh,PA,"American (Traditional)",351
Pittsburgh,PA,Cajun/Creole,3
Pittsburgh,PA,Cantonese,2
Pittsburgh,PA,Chinese,135
Pittsburgh,PA,Cuban,4
Pittsburgh,PA,Ethiopian,2
Pittsburgh,PA,French,20
Pittsburgh,PA,Greek,33
Pittsburgh,PA,Halal,8
Pittsburgh,PA,Indian,37
Pittsburgh,PA,Italian,223
Pittsburgh,PA,Japanese,64
Pittsburgh,PA,Korean,18
Pittsburgh,PA,Malaysian,1
Pittsburgh,PA,Mexican,122
Pittsburgh,PA,"Middle Eastern",37
Pittsburgh,PA,Pakistani,8
Pittsburgh,PA,Peruvian,5
Pittsburgh,PA,Thai,56
Pittsburgh,PA,Turkish,16
Pittsburgh,PA,Vietnamese,13
Plan,HU,French,1
"Pleasant Hills",PA,"American (New)",2
"Pleasant Hills",PA,"American (Traditional)",3
"Pleasant Hills",PA,Chinese,2
"Pleasant Hills",PA,Greek,1
"Pleasant Hills",PA,Italian,2
"Pleasant Hills",PA,Japanese,1
Plieningen,BW,Italian,1
Plum,PA,Indian,2
Plum,PA,Italian,1
Plum,PA,Mexican,1
Plum,PA,Pakistani,1
Pointe-Aux-Trembles,QC,Italian,2
Pointe-Claire,QC,"American (Traditional)",1
Pointe-Claire,QC,"Canadian (New)",7
Pointe-Claire,QC,Cantonese,1
Pointe-Claire,QC,Chinese,3
Pointe-Claire,QC,French,4
Pointe-Claire,QC,Indian,1
Pointe-Claire,QC,Italian,3
Pointe-Claire,QC,Japanese,5
Pointe-Claire,QC,Mexican,1
Pointe-Claire,QC,"Middle Eastern",1
Pointe-Claire,QC,Thai,2
Pointe-Claire,QC,Vietnamese,1
"Port Credit",ON,Greek,1
Presto,PA,Cajun/Creole,1
Quartermile,EDH,Chinese,1
Quartermile,EDH,Malaysian,1
Quartermile,EDH,Thai,1
Rantoul,IL,"American (Traditional)",4
Rantoul,IL,Chinese,1
Rantoul,IL,Italian,3
Rantoul,IL,Mexican,6
Rantoul,IL,Thai,1
Rantoul,IL,Vietnamese,1
Rawdon,QC,"Canadian (New)",1
Rawdon,QC,French,1
"Regent Square",PA,Thai,1
"Regional Municipality of York",ON,Japanese,1
Remseck,BW,Chinese,2
Remseck,BW,Italian,2
Repentigny,QC,French,1
Repentigny,QC,Indian,1
Repentigny,QC,Italian,1
Rexdale,ON,"American (Traditional)",1
Rexdale,ON,Chinese,2
Rexdale,ON,Indian,1
Rexdale,ON,Thai,1
Richfield,OH,"American (New)",4
Richfield,OH,"American (Traditional)",4
Richfield,OH,Chinese,1
Richfield,OH,Greek,1
Richfield,OH,"Middle Eastern",1
"Richmond Heights",OH,"American (New)",1
"Richmond Heights",OH,"American (Traditional)",1
"Richmond Heights",OH,Italian,2
"Richmond Heights",OH,Mexican,2
"Richmond Hill",ON,"American (New)",3
"Richmond Hill",ON,"American (Traditional)",29
"Richmond Hill",ON,Cajun/Creole,1
"Richmond Hill",ON,"Canadian (New)",25
"Richmond Hill",ON,Chinese,124
"Richmond Hill",ON,French,2
"Richmond Hill",ON,Greek,7
"Richmond Hill",ON,Halal,9
"Richmond Hill",ON,Indian,7
"Richmond Hill",ON,Italian,22
"Richmond Hill",ON,Japanese,49
"Richmond Hill",ON,Korean,21
"Richmond Hill",ON,Malaysian,7
"Richmond Hill",ON,Mexican,5
"Richmond Hill",ON,"Middle Eastern",12
"Richmond Hill",ON,Pakistani,4
"Richmond Hill",ON,Singaporean,3
"Richmond Hill",ON,Thai,15
"Richmond Hill",ON,Turkish,2
"Richmond Hill",ON,Vietnamese,17
"Richmond Hts",OH,"American (New)",1
"Richmond Hts",OH,"American (Traditional)",1
Rigaud,QC,"Canadian (New)",2
Rillton,PA,"American (Traditional)",1
"River Drive Park",ON,"American (Traditional)",1
"River Drive Park",ON,"Canadian (New)",1
Robinson,PA,Mexican,1
"Robinson Township",PA,"American (New)",2
"Robinson Township",PA,"American (Traditional)",3
"Robinson Township",PA,Chinese,1
"Robinson Township",PA,Greek,1
"Robinson Township",PA,Italian,1
"Robinson Township",PA,Japanese,1
"Robinson Twp.",PA,Italian,1
"Rocky River",OH,"American (New)",7
"Rocky River",OH,"American (Traditional)",17
"Rocky River",OH,Chinese,4
"Rocky River",OH,French,1
"Rocky River",OH,Greek,2
"Rocky River",OH,Italian,8
"Rocky River",OH,Mexican,5
"Rocky River",OH,"Middle Eastern",2
"Rocky River",OH,Thai,3
"Rocky River",OH,Vietnamese,1
Roosevelt,AZ,"American (New)",1
Roosevelt,AZ,"American (Traditional)",1
Rosemère,QC,"Canadian (New)",1
Rosemère,QC,French,1
Rosemere,QC,Italian,6
Rosemère,QC,Japanese,1
Rosemère,QC,Thai,1
Rosemere,QC,Vietnamese,1
"Ross Township",PA,"American (New)",1
"Ross Township",PA,"American (Traditional)",1
"Ross Township",PA,"Middle Eastern",1
"Rouses Point",NY,"American (New)",1
"Rouses Point",NY,"American (Traditional)",1
"Rouses Point",NY,Italian,1
"Rural Ridge",PA,"American (Traditional)",1
Russell,OH,Italian,1
Russellton,PA,"American (New)",1
"Sagamore Hills",OH,"American (Traditional)",1
"Sagamore Hills",OH,Mexican,1
"Saint Joseph",IL,Chinese,1
"Saint Joseph",IL,Italian,1
"Saint Joseph",IL,Mexican,1
"Saint Laurent",QC,Chinese,1
"Saint Laurent",QC,Mexican,1
"Saint Laurent",QC,Vietnamese,1
"Saint Leonard",QC,"Canadian (New)",1
Saint-Basile-Le-Grand,QC,Italian,1
Saint-Bruno-de-Montarville,QC,French,1
Saint-Bruno-de-Montarville,QC,Italian,1
Saint-Bruno-de-Montarville,QC,Japanese,1
Saint-Charles-Borromee,QC,"Canadian (New)",1
Saint-Constant,QC,"Canadian (New)",2
Saint-Constant,QC,Greek,1
Saint-Constant,QC,"Middle Eastern",1
Saint-Eustache,QC,"Canadian (New)",2
Saint-Eustache,QC,French,1
Saint-Eustache,QC,Italian,3
Saint-Eustache,QC,Mexican,1
Saint-Eustache,QC,Thai,1
Saint-Henri,QC,Mexican,1
Saint-Hubert,QC,"Canadian (New)",1
Saint-Hubert,QC,French,5
Saint-Hubert,QC,Italian,1
Saint-Hubert,QC,Japanese,2
Saint-Hubert,QC,Thai,1
Saint-Hyacinthe,QC,"Canadian (New)",1
Saint-Hyacinthe,QC,French,1
Saint-Hyacinthe,QC,Italian,1
Saint-Jean-sur-Richelieu,QC,"Canadian (New)",3
Saint-Jean-sur-Richelieu,QC,Chinese,1
Saint-Jean-sur-Richelieu,QC,French,3
Saint-Jean-sur-Richelieu,QC,Italian,1
Saint-Jean-Sur-Richelieu,QC,"Middle Eastern",2
Saint-Jérôme,QC,"American (Traditional)",1
Saint-Jérôme,QC,"Canadian (New)",3
Saint-Jerome,QC,Chinese,1
Saint-Jérôme,QC,French,2
Saint-Jérôme,QC,Italian,4
Saint-Jérôme,QC,Mexican,1
Saint-Jerome,QC,"Middle Eastern",1
Saint-Lambert,QC,"Canadian (New)",3
Saint-Lambert,QC,French,1
Saint-Lambert,QC,Indian,1
Saint-Lambert,QC,Italian,3
Saint-Lambert,QC,Mexican,1
Saint-Lambert,QC,Thai,1
Saint-Lambert,QC,Vietnamese,2
Saint-Laurent,QC,"American (Traditional)",4
Saint-Laurent,QC,"Canadian (New)",2
Saint-Laurent,QC,Chinese,4
Saint-Laurent,QC,Greek,3
Saint-Laurent,QC,Halal,3
Saint-Laurent,QC,Indian,1
Saint-Laurent,QC,Italian,11
Saint-Laurent,QC,Japanese,3
Saint-Laurent,QC,Mexican,1
Saint-Laurent,QC,"Middle Eastern",5
Saint-Laurent,QC,Pakistani,1
Saint-Laurent,QC,Thai,2
Saint-Laurent,QC,Vietnamese,6
Saint-Lazare,QC,"Canadian (New)",1
Saint-Lazare,QC,Mexican,1
Saint-Leonard,QC,"Canadian (New)",2
Saint-Leonard,QC,Chinese,1
Saint-Leonard,QC,French,1
Saint-Leonard,QC,Italian,3
Saint-Leonard,QC,Mexican,1
Saint-Leonard,QC,"Middle Eastern",1
Saint-Leonard,QC,Thai,2
Saint-Leonard,QC,Vietnamese,1
Saint-Marc-sur-Richelieu,QC,"Canadian (New)",1
Saint-Marc-Sur-Richelieu,QC,French,1
Saint-Roch-De-L'achigan,QC,"American (New)",1
Saint-Roch-De-L'achigan,QC,"Canadian (New)",1
Saint-Sauveur,QC,"American (Traditional)",1
Saint-Sauveur,QC,"Canadian (New)",3
Saint-Sauveur,QC,French,6
Saint-Sauveur,QC,Greek,2
Saint-Sauveur,QC,Indian,1
Saint-Sauveur,QC,Italian,6
Saint-Sauveur,QC,Japanese,1
Saint-Sauveur,QC,Thai,1
Saint-Sauveur,QC,Vietnamese,1
Saint-sauveur,WHT,Italian,1
Sainte-Adele,QC,"Canadian (New)",1
Sainte-Adèle,QC,French,1
Sainte-Adele,QC,Italian,1
Sainte-Adele,QC,Japanese,1
Sainte-Anne-De-Bellevue,QC,"Canadian (New)",2
Sainte-Anne-de-Bellevue,QC,Chinese,1
Sainte-Anne-de-Bellevue,QC,French,2
Sainte-Anne-De-Bellevue,QC,Indian,1
Sainte-Anne-de-Bellevue,QC,Italian,3
Sainte-Anne-De-Bellevue,QC,Korean,1
Sainte-Anne-de-Bellevue,QC,Thai,1
Sainte-Dorothée,QC,"Canadian (New)",1
Sainte-Genevieve,QC,"Canadian (New)",1
Sainte-Genevieve,QC,French,1
Sainte-Geneviève,QC,Italian,1
Sainte-Julie,QC,Chinese,1
Sainte-Julie,QC,French,1
Sainte-Julie,QC,Italian,1
Sainte-Marie,QC,Italian,1
Sainte-Marthe,QC,French,1
Sainte-Rose,QC,Chinese,1
Sainte-Thérèse,QC,"Canadian (New)",2
Sainte-Therese,QC,French,3
Sainte-Thérèse,QC,Italian,2
Sainte-thérèse,QC,Japanese,1
Sainte-Therese,QC,"Middle Eastern",1
Sainte-thérèse,QC,Vietnamese,1
Salaberry-De-Valleyfield,QC,Cajun/Creole,1
Salaberry-De-Valleyfield,QC,"Canadian (New)",2
Salaberry-De-Valleyfield,QC,Mexican,1
"San Tan Valley",AZ,"American (New)",1
"San Tan Valley",AZ,"American (Traditional)",1
"San Tan Valley",AZ,Cajun/Creole,1
"San Tan Valley",AZ,Chinese,1
"San Tan Valley",AZ,Italian,1
"San Tan Valley",AZ,Japanese,1
"San Tan Valley",AZ,Mexican,1
Savoy,IL,"American (Traditional)",2
Savoy,IL,Chinese,1
Savoy,IL,Italian,1
Savoy,IL,Korean,2
Savoy,IL,Thai,1
Savoy,IL,Vietnamese,2
Scarborough,NYK,"American (Traditional)",1
Scarborough,NYK,Cantonese,1
Scarborough,NYK,Chinese,3
Scarborough,NYK,Greek,1
Scarborough,NYK,Indian,3
Scarborough,NYK,Italian,7
Scarborough,NYK,Mexican,1
Scarborough,NYK,Pakistani,1
Scarborough,ON,"American (New)",2
Scarborough,ON,"American (Traditional)",18
Scarborough,ON,Cajun/Creole,6
Scarborough,ON,"Canadian (New)",21
Scarborough,ON,Chinese,125
Scarborough,ON,Ethiopian,1
Scarborough,ON,Greek,8
Scarborough,ON,Halal,11
Scarborough,ON,Indian,41
Scarborough,ON,Indonesian,1
Scarborough,ON,Italian,23
Scarborough,ON,Japanese,18
Scarborough,ON,Korean,7
Scarborough,ON,Malaysian,3
Scarborough,ON,Mexican,6
Scarborough,ON,"Middle Eastern",14
Scarborough,ON,Pakistani,11
Scarborough,ON,Singaporean,2
Scarborough,ON,Thai,14
Scarborough,ON,Turkish,1
Scarborough,ON,Vietnamese,20
Scaroborough,ON,"American (New)",1
Scaroborough,ON,Chinese,1
Scarobrough,ON,Italian,1
Schomberg,ON,"American (Traditional)",2
Schönaich,BW,Chinese,1
Schönaich,BW,Italian,1
Schwaikheim,BW,Chinese,1
Schwaikheim,BW,Greek,1
Schwaikheim,BW,Italian,1
Schwaikheim,BW,Thai,1
Schwieberdingen,BW,Italian,3
Scotland,GLG,"American (Traditional)",1
Scottdale,AZ,"American (New)",2
Scottsdale,AZ,"American (New)",286
Scottsdale,AZ,"American (Traditional)",225
Scottsdale,AZ,Cajun/Creole,4
Scottsdale,AZ,Cantonese,1
Scottsdale,AZ,Chinese,45
Scottsdale,AZ,Cuban,1
Scottsdale,AZ,French,25
Scottsdale,AZ,Greek,24
Scottsdale,AZ,Halal,3
Scottsdale,AZ,Indian,12
Scottsdale,AZ,Italian,169
Scottsdale,AZ,Japanese,50
Scottsdale,AZ,Korean,5
Scottsdale,AZ,Mexican,146
Scottsdale,AZ,"Middle Eastern",16
